key,nickname
2791,Shaker Robotics
2797,Knight & Nerdy
2811,StormBots
2813,Gear Heads
2815,Blue Devil Mechanics
2823,The Automatons
2826,Wave Robotics
2827,The Tiki Bots
2830,Riverside RoboTigers
2832,The Livonia  Warriors
2834,Bionic Black Hawks
2839,Daedalus
2840,PCDS Blue Tide
2846,FireBears
2847,The MegaHertz
2848,Rangers
2849,Ursa Major
2851,Crevolution
2852,DM High Voltage
2853,Hot Spot Robotics
2854,The Prototypes
2855,BEASTBOT
2856,Planetary Drive
2861,Infinity's End
2867,ElkLogics
2869,Regal Eagles
2872,CyberCats
2875,CyberHawks
2876,Devilbotz
2877,LigerBots
2879,Oriole Robotics
2881,Lady Cans
2882,Nuts n' Boltz
2883,F.R.E.D (FIRST Robotics Engineering and Design)
2890,The Hawk Collective
2895,Blazenbots
2896,MechaMonarchs
2898,Flying Hedgehogs
2900,The Mighty Penguins
2903,NeoBots
2905,Sultans of Turkiye
2906,Sentinel Prime Robotics
2907,Lion Robotics
2909,Zebra Bots
2910,Jack in the Bot
2912,Panther Robotics
2914,TIGER PRIDE
2915,Pandamonium
2926,Robo Sparks
2928,Viking Robotics
2929,Emeral Ridge JAGBOTS
2930,Sonic Squirrels
2935,NACI Robotics
2945,Steel Mustangs
2950,Devastators
2957,Knights1
2959,Robotarians
2960,Automation Nation
2961,Crimson Tide Engineers
2966,Tiger Tech
2969,Aftermath
2972,Gears and Buccaneers
2973,Mad Rockers
2974,Walton Robotics
2976,The Spartabots
2977,Sir Lancer Bots
2978,Cavaliers
2980,Whidbey Island Wildcats
2984,Vikings Robotics
2986,Cyber Comets
2987,Rogue Robotics
2988,RoboGenesis
2990,Hotwire
2992,The S.S. Prometheus
2993,InTech MegaBots
2996,Cougars Gone Wired
2998,VikingBots
3003,TAN(X)
3004,Bronx Knights
3005,RoboChargers
3006,Red Rock Robotics
3007,Robotitans
3008,Team Magma
3009,High Scalers
3015,Ranger Robotics
3017,Patriots
3018,Nordic Storm
3019,Firebirds
3020,SMbld
3023,STARK Industries
3024,My Favorite Team
3026,Orange Crush Robotics
3029,Mecha Titans
3035,Droid Rage
3038,ICE
3039,Wildcat Robotics
3042,Cobalt Catalysts
3044,Team 0xBE4
3045,Gear Gremlins
3049,BremerTron
3058,AnnDroids
3061,Huskie Robotics
3065,Jatt High School
3067,Robovikes
3070,Team Pronto
3075,Ha-Dream Team
3082,Chicken Bot Pie
3083,Artemis
3090,Ramhawks
3091,100 Scholars
3096,The Village Bulldogs
3098,Waterford Robotics
3100,Lightning Turtles
3102,Tech-No-Tigers
3110,SeaBots
3117,Harfangs
3122,The Alluminators
3128,The Aluminum Narwhals
3130,The ERRORs
3132,Thunder Down Under
3134,The Accelerators
3136,Official Robotics Constructors of Ashland
3137,T-Birds
3140,Flagship
3142,Aperture
3146,GRANBY GRUNTS
3147,Munster Horsepower
3158,PrepaTec - TECBOT
3160,F. R. O. G. - FIRST Robotics Organization of Grove
3161,Tronic Titans
3163,ROARBOTS
3164,Stealth Tigers
3171,HURRICANES
3172,HorsePOWER
3173,IgKnighters
3175,Knight Vision
3176,Purple Precision
3179,The A.N.T.
3181,Pittsford Panthers
3182,Athena's Warriors
3184,Blaze Robotics
3187,Arcadia Titan Robotics
3189,Circuit Breakers
3193,Falco Tech
3196,Team SPORK
3197,HexHounds
3200,Raptacon
3201,Ross Rambotics
3202,KnightBots
3204,Steampunk Penguins
3205,Patriots
3206,Royal T-Wrecks
3211,The Y Team
3212,YME Stingbots
3216,Missoula Robotics Team (MRT)
3218,Panther Robotics
3219,"TREAD (Trojan Robotics, Engineering, Art, & Design)"
3229,Hawktimus Prime
3234,Red Arrows
3242,ILLUMICATS
3243,Amperes
3245,Ravens
3247,Robopack
3255,SuperNURDs
3256,WarriorBorgs
3257,Vortechs
3260,SHARP
3267,Mariner Robotics
3268,Vahallabots
3275,The Regulators
3276,TOOLCATS
3277,ProDigi
3278,QWERTY Robotics
3282,Dallas Robo Tigers
3284,Camdenton  LASER 3284
3288,Punchers
3291,Golden Pirates
3293,OtterBots
3294,Backwoods Engineers
3295,STEMdroids
3297,Full Metal Jackets
3298,ArrowBots
3300,Midwest WARRIORS
3302,TurboTrojans
3309,Friarbots
3310,Black Hawk Robotics
3313,Mechatronics
3314,Mechanical Mustangs
3316,D-Bug
3322,Eagle Evolution
3323,Potential Energy
3324,The Metrobots
3328,NohoRobo
3329,Wildbots
3336,Zimanators
3339,BumbleB
3340,Union City MagneGeeks
3341,Option 16
3344,Space Dragons
3352,3352 Flaming Monkeys 4-H Robotics Club
3354,PrepaTec-TecDroid
3357,COMETS
3359,Royal Robotics
3360,Hyperion
3361,Governators
3373,Team RoboHawk
3374,Jackson Hole RoboBroncs
3381,Droid Rage
3386,Tornades
3388,Flash
3390,ANATOLIAN EAGLEBOTS
3393,Horns of Havoc
3397,Robolions
3405,ALChemists
3407,Wild Cards
3408,cyberCubs
3414,Hackbots
3418,RoboRiot
3419,RoHawks
3451,The ANOMALY
3452,GreengineerZ
3454,Z Bots
3458,Code Blue
3459,Team PyroTech
3461,Operation PEACCE Robotics
3464,Sim-City
3465,The Omega Factor
3467,Windham Windup
3468,MAGNAtech
3472,PrepaTec - Buluk
3473,Team Sprocket
3476,Code Orange
3478,PrepaTec - LamBot
3481,Bronc Botz
3482,Arrowbotics
3484,Short Circuit
3487,Red Pride Robotics
3488,Eagle Army
3489,Category 5
3490,Viper Drive
3492,Putnam Area Robotics Team (P.A.R.T.s)
3494,The Quadrangles
3501,Firebots
3504,Girls of Steel
3506,YETI Robotics
3507,Ubotics
3512,Spartatroniks
3515,Pneubotic Mustangs
3522,CBoT´S4
3526,PrepaTec - Blue Ignition
3527,PrepaTec - Balam Esmeralda
3532,Piranhas
3533,Mekano
3534,House of Cards
3536,Electro Eagles
3537,Delta Force 3537
3538,RoboJackets
3539,Byting Bulldogs
3543,C4 Robotics
3544,Spartiates
3545,Bots in Blue
3546,Buc'n'Gears
3550,Robotronix
3559,Thundercats
3560,Chingbotics
3561,RoboRaiders
3562,LiveWire Robotics 3562
3566,Gone Fishin'
3568,RoboEagles
3571,Mustang Robotics
3572,Wavelength
3577,Saint's Robotics
3588,the Talon
3596,Rocket Robotics
3597,Robo-Rangers
3598,SEStematic Eliminators
3602,RoboMos
3603,Cyber Coyotes
3604,Goon Squad
3606,BearMetal
3610,Islanders
3616,Team Phenomena 3616
3618,Petoskey Paladins
3619,Blackhawks
3620,Average Joes
3623,TerrorBots
3624,ThunderColts
3627,The Jungle Robotics
3630,Stampede
3632,D-Techs
3634,Spark City
3635,Flying Legion
3636,Generals
3637,The Daleks
3641,The Flying Toasters
3647,Millennium Falcons
3648,Sparta Robotica
3653,Botcats
3654,TechTigers
3655,Tractor Technicians
3656,Dreadbots Team 3656
3658,Robo - Beavers
3660,LIGHTSABERS
3663,CPR - Cedar Park Robotics
3667,Mecanum Knights
3668,TroBots
3669,CarbonKnights
3673,C.Y.B.O.R.G. Seagulls
3674,CloverBots
3676,Redshift Robotics
3679,rattlers
3681,Robo-Raiders
3683,Team DAVE
3688,Norsemen
3691,RoboRaiders
3692,Rock N' Robotics
3695,Foximus Prime
3704,3704
3707,TechnoDogs
3711,Iron Mustang
3712,RoboCats
3719,STEM Whalers
3721,Charger Robotics
3723,TEKnights
3728,Momentum
3729,The Raiders
3734,StarBots
3735,VorTX
3737,Roto Raptors
3739,Oakbotics
3740,Storm Robotics
3743,Eagle Bots
3748,Ragnarok Robotics
3749,Team Optix
3751,Tower View Robotics
